codigo,titulo,endereco,bairro,estado,cidade,area,full_address,latitude,longitude
BBPO11,Ag. Belém Centro,"Avenida Pres. Vargas, 248",,PA,Belém,"10.514,51 m2","Avenida Pres. Vargas, 248, Belém, PA",-1.4498,-48.4978
BBPO11,Ag. Belo Horizonte,"Rua Rio de Janeiro, 750",Centro,MG,Belo Horizonte,"18.909,00 m2","Rua Rio de Janeiro, 750, Belo Horizonte, MG",-19.9211,-43.9394
BBPO11,Ag. Bom Retiro,"Rua Julio Conceição, 438",Bom Retiro,SP,São Paulo,"2.962,00 m2","Rua Julio Conceição, 438, São Paulo, SP",-23.5268,-46.6405
BBPO11,Ag. Bonfim,"Avenida Gov. Pedro de Toledo, 1099",Bonfim,SP,Campinas,"8.170,00 m2","Avenida Gov. Pedro de Toledo, 1099, Campinas, SP",-22.9002,-47.081
BBPO11,Ag. Brás,"Avenida Rangel Pestana, 2128",Brás,SP,São Paulo,"4.247,00 m2","Avenida Rangel Pestana, 2128, São Paulo, SP",-23.542,-46.6148
BBPO11,Ag. Brooklin Paulista,"Rua Joaquim Nabuco, 246",,SP,São Paulo,"1.843,00 m2","Rua Joaquim Nabuco, 246, São Paulo, SP",-23.6247,-46.6832
BBPO11,Ag. Campinas,"Rua DRua Costa Aguiar, 626",Centro,SP,Campinas,"5.981,84 m2","Rua DRua Costa Aguiar, 626, Campinas, SP",-22.9075,-47.0633
BBPO11,Ag. Campos Elíseos,"Avenida Rio Branco, 1.437",Campos Elíseos,SP,São Paulo,"5.991,00 m2","Avenida Rio Branco, 1.437, São Paulo, SP",-23.5318,-46.646
BBPO11,Ag. Campos Goytacazes,"Praça das 4 Jornadas, 11",Centro,RJ,Campos Goytacazes,"7.322,74 m2","Praça das 4 Jornadas, 11, Campos Goytacazes, RJ",-22.9088,-43.1967
BBPO11,Ag. Carijós,"Rua Espírito Santo, 571",Centro,MG,Belo Horizonte,"5.407,00 m2","Rua Espírito Santo, 571, Belo Horizonte, MG",-19.9199,-43.9373
BBPO11,Ag. Casa Verde,"Rua Baroré, 284",Casa Verde,SP,São Paulo,"2.268,00 m2","Rua Baroré, 284, São Paulo, SP",-23.5085,-46.6571
BBPO11,Ag. Catedral Sorocaba,"Rua XV de Novembro, 63/67",centro,SP,Sorocaba,"2.089,00 m2","Rua XV de Novembro, 63/67, Sorocaba, SP",-23.5014,-47.4527
BBPO11,Ag. Caxias do Sul,"Rua Marques do Herval, 1354 - Ed. Satélite",Centro,RS,Caxias do Sul,"5.778,75 m2","Rua Marques do Herval, 1354 - Ed. Satélite, Caxias do Sul, RS",-29.1684,-51.1786
BBPO11,Ag. Centro,"Rua XV de Novembro, 191",centro,SP,Sorocaba,"6.614,50 m2","Rua XV de Novembro, 191, Sorocaba, SP",-23.5001,-47.4551
BBPO11,Ag. Cinelândia,"Avenida 13 de Maio, 13",Centro,RJ,RIO DE JANEIRO,"1.834,12 m2","Avenida 13 de Maio, 13, RIO DE JANEIRO, RJ",-22.9095,-43.1769
BBPO11,Ag. Conjunto Nacional,SDN Conj. A Lj.C-03 - 2º pavto.,,DF,Brasilia,"1.207,40 m2","SDN Conj. A Lj.C-03 - 2º pavto., Brasilia, DF",-15.7784,-47.9286
BBPO11,Ag. Duque de Caxias,"Avenida Presidente Kennedy, 1461",Centro,RJ,Duque de Caxias,"3.535,61 m2","Avenida Presidente Kennedy, 1461, Duque de Caxias, RJ",-22.7899,-43.3104
BBPO11,Ag. Florianópolis,Praça XV de Novembro 321,Centro,SC,Florianópolis,"6.788,73 m2","Praça XV de Novembro 321, Florianópolis, SC",-27.5078,-48.5196
BBPO11,Ag. Freguesia do Ó,"Avenida Santa Marina, 2.618",Vila Albertina,SP,São Paulo,"2.259,00 m2","Avenida Santa Marina, 2.618, São Paulo, SP",-23.5019,-46.6946
BBPO11,Ag. General Valadão,"Praça General Valadão, 377",Centro,SE,Aracaju,"6.077,92 m2","Praça General Valadão, 377, Aracaju, SE",-10.8898,-37.0482
